Time,直调负荷,联络线,风电,光伏,竞价空间,实时价格,直调负荷_day_ahead,联络线_day_ahead,风电_day_ahead,光伏_day_ahead,竞价空间_day_ahead,日前价格,价差,价差tag
2024-01-01 01:00:00,57435.4435,13206.47625,4312.02,0.0,39916.94725,299.64,55168.4525,13364.0,4239.02,0.0,37565.4324999999,304.997,5.357000000000028,1
2024-01-01 02:00:00,56058.89325,13356.8875,4034.38,-6.39,38674.01575,339.5,53852.465,13364.0,3481.38,0.0,37007.085,293.25,-46.25,0
2024-01-01 03:00:00,55106.259,13409.6345,3749.9825,-6.5375,37953.1795,318.3,52915.715,13364.0,2843.53,0.0,36708.185,290.86,-27.439999999999998,0
2024-01-01 04:00:00,54599.96875,13344.34375,3069.455,-6.44,38192.61,331.27,52536.4575,13364.0,2292.86,0.0,36879.5974999999,291.965,-39.30500000000001,0
2024-01-01 05:00:00,54738.8185,13367.1585,2577.47,-6.48,38800.670000000006,349.28,53041.57,13364.0,1889.025,0.0,37788.545,303.93,-45.349999999999966,0
2024-01-01 06:00:00,56037.239,15096.3425,2126.9825,-6.59,38820.504,324.17,54370.595,15052.25,1649.11,0.305,37668.93,303.225,-20.944999999999993,0
2024-01-01 07:00:00,58239.46775,17779.6605,1855.855,-6.76,38610.71225,326.78,57158.9575,17625.0,1595.145,4.6225,37934.19,301.608,-25.17199999999997,0
2024-01-01 08:00:00,63026.206,18488.45675,1656.2975,287.3725,42594.07925,396.2,61597.97,18364.25,1679.3475,433.79,41120.5825,356.843,-39.35699999999997,0
2024-01-01 09:00:00,64545.7405,19254.29475,1671.7575,2459.225,41160.46325,447.15,64095.8725,19295.75,1738.8,2622.42,40438.9025,384.187,-62.962999999999965,0
2024-01-01 10:00:00,59926.872,19284.3085,1653.66,5580.7625,33408.141,300.47,60801.67,19265.75,1643.8525,5367.8,34524.2674999999,345.595,45.125,1
2024-01-01 11:00:00,56743.53625,17028.75,1353.515,7094.6475,31266.62375,-80.0,57645.575,16979.0,1496.34,7196.2275,31974.0075,333.877,413.877,1
2024-01-01 12:00:00,54253.54,13911.44225,1106.6,8078.3275,31157.170250000003,-80.0,54397.8475,13918.0,1496.8675,7975.805,31007.175,325.168,405.168,1
2024-01-01 13:00:00,52548.291,13290.53825,1137.11,7932.3225,30188.32025,80.28,52468.9275,13174.5,1653.1525,7880.4425,29760.8325,289.753,209.47299999999998,1
2024-01-01 14:00:00,54955.624,14164.904,1258.9875,6297.7025,33234.03,282.41,54751.8975,14145.0,1854.1925,6893.96,31858.745,281.318,-1.0920000000000414,0
2024-01-01 15:00:00,58621.3095,17257.16725,1332.125,4776.79,35255.22725,287.08,58586.17,16796.5,2041.84,4977.66,34770.17,285.993,-1.086999999999989,0
2024-01-01 16:00:00,63459.03125,18528.01875,1240.245,2200.4225,41490.345,350.18,63692.3625,18485.25,2218.3,2490.2325,40498.58,318.515,-31.66500000000002,0
2024-01-01 17:00:00,68183.879,19441.759,1156.5075,327.7375,47257.875,409.75,68277.1425,19458.75,2574.795,483.4025,45760.195,341.968,-67.78199999999998,0
2024-01-01 18:00:00,72892.26375,19840.62775,1542.0525,-8.555,51518.1385,1022.55,71162.45,19853.0,3229.5975,5.47,48074.3824999999,354.54,-668.01,0
2024-01-01 19:00:00,72014.205,19822.73625,2325.7475,-7.05,49872.771250000005,624.52,70301.1625,19851.0,4025.62,0.2025,46424.34,330.92,-293.59999999999997,0
2024-01-01 20:00:00,71284.42375,19835.65225,2928.4975,-7.12,48527.39400000001,501.88,68966.3575,19849.0,4786.9075,0.0,44330.45,312.895,-188.985,0
2024-01-01 21:00:00,70181.332,19222.6985,3505.2425,-7.1975,47460.5885,507.86,67155.035,19140.75,5420.0175,0.0,42594.2675,331.707,-176.15300000000002,0
2024-01-01 22:00:00,66914.96675,18644.9895,3521.755,-7.2025,44755.42475000001,428.5,63625.285,18714.0,5804.465,0.0,39106.82,291.16,-137.33999999999997,0
2024-01-01 23:00:00,62607.955,16738.856,3271.1275,-7.1975,42605.169,354.56,59886.5325,16763.0,5988.39,0.0,37135.1425,281.33,-73.23000000000002,0
